food_name_in_french,sodium_chloride_in_g_for_100g,calcium_in_mg_for_100g,chloride_in_mg_for_100g,copper_in_mg_for_100g,iron_in_mg_for_100g,iodine_in_µg_for_100g,magnesium_in_mg_for_100g,manganese_in_mg_for_100g,phosphorus_in_mg_for_100g,potassium_in_mg_for_100g,selenium_in_µg_for_100g,sodium_in_mg_for_100g,zinc_in_mg_for_100g
"Rôti de volaille en salaison, cuit",2.0,,,,,,,,,,,806.0,
Chorizo,,,,,,7.0,,,,,,1690.0,
"Chorizo supérieur, doux ou fort, type saucisse sèche",,24.0,2480.0,,,30.0,27.0,,220.0,490.0,,1560.0,2.0
"Chorizo supérieur, doux ou fort, type charcuterie en tranches",,28.0,2380.0,,,,30.0,,300.0,650.0,,1720.0,
Salami,,,2310.0,,1.0,20.0,15.0,,150.0,300.0,,1620.0,
Salami pur porc,,13.0,,,,,22.0,,229.0,378.0,,2260.0,
Salami porc et boeuf,,,,,,,,,192.0,340.0,,1750.0,
Salami type danois,,,,,,,,,,,,1650.0,
Saucisson à l'ail,2.0,9.0,1220.0,,,7.0,9.0,,174.0,230.0,,783.0,
Saucisson cuit pur porc,,,1280.0,,,,,,,,,,
Saucisson de Paris,,,1400.0,,,,,,140.0,,,691.0,
"Saucisson de Paris, fumé",,,,,,,,,90.0,,,,
"Saucisson brioché, cuit",,19.0,1230.0,,,,21.0,,160.0,240.0,,550.0,
Cervelas,,,1340.0,,,,,,197.0,187.0,,763.0,1.0
Cervelas obernois,2.0,,,,,,,,,,,800.0,
"Cervelas à l'ail, pur porc",,,1460.0,,,,,,,,,,
Mortadelle,,,1340.0,,,,,,127.0,270.0,,851.0,
"Mortadelle, pur porc",,19.0,,,,,,,180.0,236.0,,850.0,
"Mortadelle, porc et boeuf",,18.0,1570.0,,,,11.0,,97.0,163.0,,1250.0,
Mortadelle pistachée pur porc,,,1460.0,,,,,,,,,822.0,
Saucisson de cheval type cervelas,,15.0,1160.0,,,,13.0,,290.0,200.0,,985.0,
"Spécialité végétale type jambon cuit, préemballée",,32.0,969.0,,,,24.0,,87.0,100.0,,646.0,
"Spécialité végétale type pâté, préemballée",,30.0,793.0,,,40.0,23.0,,72.0,170.0,,509.0,
"Saucisse végétale au tofu (convient aux véganes ou végétaliens), préemballée",,140.0,1040.0,,2.0,,58.0,,210.0,120.0,,670.0,
"Quenelle au tofu (ne convient pas aux véganes ou végétaliens), préemballée",,120.0,604.0,,,,41.0,,130.0,130.0,,405.0,1.0
"Saucisse végétale au blé ou seitan, préemballé",,37.0,1100.0,,,,32.0,,110.0,200.0,,728.0,
"Haché à base de boeuf ou Préparation de viande hachée de boeuf, 15% MG, cru, prémeballé",,,,,,,,,,,,313.0,
"Cordon bleu de volaille, préemballé",,,,,,8.0,,,172.0,336.0,,683.0,
"Boeuf, boulettes cuites",,29.0,,,,,,,172.0,326.0,,452.0,
"Veau, escalope panée, cuite",,,,,,,,,183.0,328.0,,394.0,
"Boulettes au porc et au boeuf (à la suédoise), préemballées, crues",,12.0,953.0,,,,16.0,,130.0,250.0,,603.0,
"Boulettes au boeuf et à l'agneau (type kefta), préemballées, crues",,24.0,641.0,,,,26.0,,150.0,330.0,,413.0,
Brochette de volaille,,14.0,,,1.0,,,,151.0,239.0,,114.0,
Brochette de boeuf,,,,,,,21.0,,172.0,307.0,,50.0,
Brochette mixte de viande,,,,,,,,,162.0,273.0,,247.0,
"Volaille, croquette panée ou nuggets",,,,,,,24.0,,225.0,215.0,,676.0,
Brochette d'agneau,,,,,,,,,109.0,240.0,,190.0,
"Brochette de porc, crue",,,,,,,,,,,,324.0,
"Poulet, croquette panée ou nuggets",,25.0,792.0,,1.0,60.0,25.0,,190.0,270.0,,547.0,
"Poulet, manchons marinés, rôtis/cuits au four",,,985.0,,,41.0,,,168.0,,,674.0,
"Poulet, escalope panée",,22.0,786.0,,,,26.0,,160.0,230.0,,504.0,
"Dinde, escalope viennoise ou milanaise ou escalope panée",,,,,,,,,,,,356.0,
"Saumon, cuit, sans précision (aliment moyen)",,,,,,,,,243.0,383.0,,,
"Cabillaud, cuit, sans précision (aliment moyen)",,,368.0,,,122.0,,,193.0,321.0,,,
"Hareng fumé, filet, doux",,62.0,2310.0,,,,39.0,,250.0,380.0,30.0,1510.0,
"Carrelet ou plie, cuit à la vapeur",,,,,,30.0,,,,,,,
"Églefin, cuit à la vapeur",,26.0,,,,260.0,24.0,,200.0,370.0,,73.0,
"Hareng, frit",,,,,,38.0,,,,,,,
"Hareng fumé, au naturel",,,2910.0,,1.0,40.0,,,155.0,226.0,28.0,1590.0,
"Hareng, grillé/poêlé",,,220.0,,,,,,307.0,425.0,46.0,138.0,
"Lieu noir, cuit",,,,,,12.0,36.0,,152.0,224.0,,102.0,
"Limande-sole, cuite à la vapeur",,21.0,120.0,,,,20.0,0.0,250.0,280.0,73.0,120.0,
"Maquereau, rôti/cuit au four",,,,,,,,,207.0,401.0,,83.0,
"Maquereau, frit",,,,,,107.0,,,273.0,323.0,,,1.0
"Merlan, frit",,,,,,213.0,,,165.0,402.0,,171.0,
"Merlan, cuit à la vapeur",,21.0,140.0,,,75.0,28.0,,190.0,400.0,25.0,110.0,
"Cabillaud, rôti/cuit au four",,,520.0,,,130.0,,,164.0,297.0,,,
"Morue, salée, bouillie/cuite à l'eau",,,5.0,,,74.0,,,42.0,110.0,,2320.0,
"Cabillaud, cuit à la vapeur",,10.0,120.0,,,110.0,21.0,,240.0,360.0,,65.0,
"Mulet, rôti/cuit au four",,31.0,,,,190.0,33.0,,244.0,458.0,,71.0,
"Raie, rôtie/cuite au four",,50.0,260.0,,,,37.0,0.0,220.0,320.0,,150.0,
"Roussette ou petite roussette ou saumonette, cuite",,,,,,,,,,,42.0,,
Saumon fumé,,,2000.0,,,40.0,,,214.0,551.0,,1410.0,
"Saumon, cuit à la vapeur",,,63.0,,,17.0,,,270.0,390.0,19.0,,
"Thon, rôti/cuit au four",,,,,,150.0,46.0,,273.0,445.0,,56.0,
"Sole, cuite à la vapeur",,96.0,,,,,,,128.0,175.0,103.0,166.0,
"Sole, rôtie/cuite au four",,,,,,30.0,,,285.0,224.0,,117.0,
"Sole, bouillie/cuite à l'eau",,90.0,,,,,22.0,,195.0,137.0,,82.0,
"Sole, frite",,,,,,,28.0,,250.0,240.0,,144.0,
"Raie, cuite au court-bouillon",,,,,,,,0.0,163.0,,,161.0,
"Lotte ou baudroie, grillée/poêlée",,11.0,,,,,,,368.0,472.0,,,
"Maquereau, fumé",,20.0,1130.0,,,,29.0,,267.0,312.0,,384.0,
Haddock (fumé) ou églefin fumé,,49.0,1200.0,,,255.0,54.0,,251.0,415.0,28.0,763.0,
"Espadon, rôti/cuit au four",,,170.0,,,,,,200.0,475.0,122.0,,
"Turbot, rôti/cuit au four",,,180.0,,,30.0,,,213.0,323.0,,192.0,
"Merlu, cuit à l'étouffée",,,,,,42.0,,,190.0,290.0,22.0,,
"Églefin, grillé/poêlé",,14.0,,,,,26.0,,278.0,351.0,,261.0,
"Sardine, grillée",,130.0,170.0,,,32.0,34.0,,320.0,400.0,38.0,140.0,
"Vivaneau, cuit",,40.0,,,,,37.0,,201.0,522.0,,57.0,
"Rascasse, cuite à la vapeur",,14.0,115.0,,,,33.0,,200.0,380.0,80.0,,
"Lieu ou colin d'Alaska, fumé",,,,,,,,,,,,,
"Lieu jaune ou colin, cuit",,,127.0,,,150.0,,,230.0,388.0,,,
"Saumon, cuit au micro-ondes, élevage",,5.0,,,,,,,250.0,402.0,,39.0,
"Saumon, bouilli/cuit à l'eau, élevage",,,,,,,,,150.0,347.0,,,
"Dorade grise, ou daurade grise, ou griset, rôtie/cuite au four",,,,,,,,,,,50.0,,
"Saumon, grillé/poêlé",,,,,,,,,263.0,414.0,11.0,,
"Saumon, élevage, rôti/cuit au four",,15.0,,,,,30.0,,252.0,384.0,,61.0,
"Hareng fumé, à l'huile",,,3820.0,,,20.0,,,125.0,173.0,17.0,1630.0,
"Julienne ou Lingue, cuite",,13.0,117.0,,,49.0,31.0,,180.0,330.0,60.0,,
"Flétan du Groënland ou flétan noir ou flétan commun, cuit à la vapeur",,,133.0,,,,21.0,,160.0,240.0,60.0,143.0,
"Sole, poêlée",,39.0,228.0,,,20.0,27.0,,180.0,370.0,30.0,147.0,
"Anguille, cuite (aliment moyen)",,,,,,8.0,,,,,,,
"Anguille, rôtie/cuite au four",,26.0,,,,8.0,26.0,,277.0,349.0,,65.0,
"Anguille, bouillie/cuite à l'eau",,,,,,8.0,,,,,28.0,,
"Brochet, rôti/cuit au four",,73.0,,,,12.0,40.0,,282.0,331.0,,49.0,
"Carpe, rôtie/cuite au four",,52.0,,,,6.0,38.0,,531.0,427.0,,63.0,
"Perche, rôtie/cuite au four",,73.0,,,,,26.0,,105.0,331.0,26.0,,
"Truite, rôtie/cuite au four",,55.0,,,,6.0,28.0,,314.0,463.0,3.0,67.0,
"Truite, cuite à la vapeur",,,,,,6.0,,,,,3.0,,
"Truite arc en ciel, élevage, rôtie/cuite au four",,,65.0,,,,,,263.0,391.0,,,
"Truite arc en ciel, élevage, cuite à la vapeur",,,,,,8.0,,,,,3.0,,
"Panga, Pangasius, ou poisson-chat du Mékong, filet, cuit",,,176.0,,,,18.0,,130.0,200.0,,233.0,
"Truite d'élevage, fumée",,,2460.0,,,40.0,,,227.0,412.0,23.0,1270.0,
"Bar commun ou loup, rôti/cuit au four",,11.0,119.0,,,,,,183.0,410.0,,,
"Dorade (Daurade) royale, cuite au four",,13.0,132.0,,,,29.0,,230.0,420.0,,71.0,
"Bar rayé ou bar d'Amérique, cru",,66.0,,,,60.0,36.0,,218.0,356.0,,,
"Lieu ou colin d'Alaska, cru",,,297.0,,,,,,160.0,296.0,,190.0,
"Flétan de l'Atlantique ou flétan blanc, cru",,15.0,,,,,23.0,,221.0,424.0,,59.0,
"Hareng, cru",,,331.0,,,,27.0,,235.0,342.0,,,
"Lotte ou baudroie, crue",,,370.0,,,,,,241.0,296.0,,,
"Saumon, cru, élevage",,,,,,,,,181.0,358.0,,,
"Turbot sauvage, cru",,,140.0,,,35.0,49.0,,176.0,253.0,,,
"Cabillaud, cru",,,110.0,,,101.0,,,163.0,357.0,136.0,,
"Merlu, cru",,,83.0,,1.0,,,,160.0,332.0,,,
"Lieu noir, surgelé, cru",,,,,,73.0,,,107.0,255.0,,,
"Merlu, filet, surgelé, cru",,,,,,,,,,,,262.0,
"Maquereau, cru",,,82.0,,,,,,190.0,340.0,,64.0,
"Raie, crue",,,210.0,,,,,,136.0,279.0,,139.0,
"Thon, cru",,,0.0,,,,,,229.0,429.0,,49.0,
"Carrelet ou plie, cru",,127.0,,,,191.0,,,174.0,352.0,,,
"Limande, crue",,,0.0,,,30.0,,,176.0,262.0,,111.0,
"Sole, crue",,,142.0,,,,,,170.0,349.0,23.0,,
"Rascasse, crue",,61.0,,,,11.0,21.0,,,465.0,,,
"Thon albacore ou thon jaune, cru",,,,,,,,,257.0,410.0,,40.0,
"Sardine, crue",,,130.0,,,,36.0,,286.0,584.0,,101.0,
"Thon listao ou Bonite à ventre rayé, cru",,29.0,,,,,34.0,,222.0,407.0,,37.0,
"Thon rouge, cru",,8.0,,,,,50.0,,254.0,252.0,,39.0,
"Bar commun ou loup, cru, sans précision",,10.0,119.0,,,,27.0,,207.0,390.0,30.0,,
"Roussette ou petite roussette ou saumonette, crue",,,0.0,,,,,,147.0,258.0,,125.0,
"Bar ou loup de l'Atlantique, cru",,,,,,60.0,,,185.0,286.0,,99.0,
"Thon germon ou thon blanc, cru",,,195.0,,,14.0,,,242.0,355.0,188.0,,
"Anchois commun, cru",,,,,,55.0,,,162.0,294.0,,73.0,
"Dorade royale, ou daurade ou vraie daurade, crue, sauvage",,,,,,40.0,19.0,,178.0,439.0,20.0,,
"Espadon, cru",,,130.0,,,40.0,,,289.0,362.0,,112.0,
"Éperlan, cru",,,,,,67.0,24.0,,245.0,357.0,,156.0,
"Cardine franche, crue",,,,,,17.0,,,,,,,
"Rouget-barbet de roche, cru",,,140.0,,,,,,218.0,343.0,,,
"Dorade royale ou daurade ou vraie daurade, crue, élevage",,,,,,5.0,,,248.0,458.0,,,
"Mulet, cru",,,130.0,,,14.0,,,171.0,305.0,168.0,,
"Truite de mer, crue",,,0.0,,,20.0,,,270.0,458.0,,55.0,
"Merlan, cru",,18.0,109.0,,,,,,196.0,417.0,,,
"Morue, salée, sèche",,124.0,,,,230.0,,,551.0,1300.0,,4900.0,
"Dorade grise, ou daurade grise, ou griset, crue",,100.0,,,,,,,250.0,400.0,,,
"Bogue, crue",,,120.0,,,60.0,,,230.0,309.0,,110.0,
"Bonite, crue",,16.0,,,,,10.0,,,35.0,,540.0,
"Maquereau espagnol ou maquereau blanc ou billard, cru",,11.0,,,,,33.0,,205.0,446.0,,59.0,
"Denté, cru",,34.0,,,1.0,,,,226.0,350.0,,77.0,
"Saint-Pierre, cru",,,70.0,,,20.0,,,180.0,307.0,,60.0,
"Grondin, cru",,,,,,,,,,,,,
"Corb, cru",,74.0,,,,,61.0,,,527.0,,,
"Capelan, cru",,,,,,,,,,,,,
"Dorade rose, ou daurade rose, crue",,34.0,,,,,22.0,,,690.0,,,
"Rouget-barbet de roche, vapeur",,21.0,162.0,,,40.0,33.0,,230.0,410.0,50.0,,
"Saupe, crue",,28.0,,,,,27.0,,,540.0,,,
"Chinchard, cru",,92.0,,,,,69.0,,,986.0,26.0,,
"Églefin, cru",,,86.0,,,126.0,,,144.0,292.0,36.0,,
"Congre, cru",,71.0,100.0,,,30.0,20.0,,270.0,240.0,,50.0,
"Grenadier (de roche), cru",,,,,,,,,103.0,281.0,356.0,94.0,
"Lieu jaune ou colin, cru",,,0.0,,,80.0,,,235.0,331.0,35.0,129.0,
"Julienne ou Lingue, crue",,,0.0,,,,,,204.0,365.0,,128.0,
"Tacaud, cru",,,,,,214.0,,,148.0,306.0,,,
"Lieu noir, cru",,,,,,143.0,,,207.0,385.0,120.0,,
"Limande-sole, crue",,17.0,,,,94.0,17.0,,200.0,230.0,,95.0,
"Foie de morue, cru",,10.0,,,4.0,500.0,8.0,,100.0,130.0,,589.0,
"Vivaneau, cru",,32.0,,,,,32.0,,198.0,417.0,,64.0,
"Sabre, cru",,12.0,,,,,,,150.0,270.0,,110.0,
"Flétan du Groënland ou flétan noir ou flétan commun, cru",,,,,,,24.0,,161.0,287.0,,202.0,
"Carangue, cru",,47.0,,,,,30.0,,193.0,415.0,,89.0,
"Coulirou, cru",,50.0,,,,,30.0,,115.0,614.0,,61.0,
"Saumon, cru, sauvage",,,83.0,,,,,,225.0,436.0,27.0,46.0,
"Requin, cru",,33.0,,,,,37.0,,201.0,355.0,,79.0,
"Orphie commune, crue",,73.0,,,,20.0,,,196.0,377.0,,,
"Lompe, crue",,20.0,,,,50.0,,,203.0,485.0,,69.0,
"Brème, cru",,63.0,,,,7.0,26.0,,210.0,350.0,24.0,43.0,
"Omble chevalier, cru",,,,,,,30.0,,260.0,370.0,16.0,,
"Loup tacheté, cru",,35.0,,,1.0,60.0,25.0,,180.0,282.0,,105.0,
"Sprat, cru",,,,,,,20.0,,220.0,230.0,10.0,,
"Turbot, cru",,49.0,,,,35.0,23.0,,203.0,415.0,,84.0,
"Corégone lavaret, cru",,43.0,,,,12.0,,,280.0,349.0,16.0,50.0,
"Mérou, cru",,19.0,,,,,31.0,,145.0,483.0,,53.0,
"Lingue bleue ou Lingue, crue",,,,,,,,,151.0,302.0,,,
"Sole tropicale ou Sole langue, crue",,,,,,,,,,125.0,,140.0,
"Turbot d'élevage, cru",,,,,,,,,134.0,306.0,,,
"Bar commun ou loup (Méditerranée), cru, sauvage",,,,,,,,,191.0,371.0,,,
"Bar commun ou loup (Méditerranée), cru, élevage",,,,,,,,,209.0,430.0,,,
"Baudroie rousse ou Lotte, crue",,,,,,,,,149.0,339.0,414.0,127.0,
"Sébaste du nord, ou grand sébaste, ou dorade sébaste, ou daurade sébaste, crue",,,0.0,,,,,,168.0,333.0,,,
"Hoki, tout lieu de pêche, cru",,,,,,,,,167.0,345.0,,,
"Grenadier bleu ou hoki de Nouvelle-Zélande, cru",,8.0,73.0,,,,20.0,,154.0,306.0,47.0,,
"Grondin perlon, cru",,,,,,,,,,,,,
"Merlu blanc du Cap, surgelé, cru",,32.0,,,,,,,,,29.0,,
"Chinchard maigre, cru",,,,,,,,,206.0,386.0,,62.0,
"Chinchard gras, cru",,,,,,,,,195.0,382.0,,,
"Hareng maigre, cru",,,255.0,,,,,,261.0,450.0,,75.0,
"Hareng gras, cru",,,650.0,,,,,,247.0,421.0,,,
"Joëls (petits poissons entiers) pour friture, crus",,60.0,,,,,,,,,,108.0,
"Empereur, filet, sans peau, cru",,,,,,,,,,,,83.0,
"Rouget-barbet, filet avec peau, surgelé, cru (Thaïlande, Sénégal…)",,14.0,,,,,,,,,,78.0,
"Carpe, crue, élevage",,,37.0,,,,,,143.0,310.0,20.0,,
"Truite d'élevage, crue",,,,,,,,,188.0,410.0,,,
"Truite arc en ciel, crue, élevage",,,57.0,,,,,,246.0,410.0,,,
"Perche, crue",,,,,,13.0,,,208.0,290.0,24.0,,
"Brochet, cru",,33.0,,,,,21.0,,176.0,228.0,,,
"Esturgeon, cru",,,,,,,,,225.0,307.0,,,
"Anguille, crue",,,57.0,,,,18.0,,285.0,260.0,,,
"Pangasius ou Poisson-chat, cru",,,,,,,,,107.0,200.0,,274.0,
"Tilapia, cru",,,,,,,,,131.0,282.0,,,
"Truite saumonée, crue",,,,,,,,,210.0,346.0,,,
"Lotte de rivière, crue",,44.0,,,,40.0,,,195.0,337.0,20.0,86.0,
"Sandre, cru",,54.0,,,,,29.0,,220.0,340.0,20.0,57.0,
"Perche du Nil, crue",,,,,,,,,156.0,308.0,,,
"Bigorneau, cuit",,,318.0,,,570.0,,,,,,193.0,
"Coquille Saint-Jacques, noix et corail, cuite",,,410.0,,,20.0,,,357.0,348.0,,183.0,
"Crevette grise, cuite",,1000.0,671.0,1.0,,260.0,53.0,,280.0,97.0,40.0,458.0,
"Crevette, cuite",,240.0,1510.0,,,,61.0,,57.0,254.0,,541.0,
"Homard, bouilli/cuit à l'eau",,,530.0,,,120.0,,,212.0,208.0,,361.0,
"Moule, bouillie/cuite à l'eau",,,411.0,,,106.0,,,179.0,166.0,,322.0,
"Bulot ou Buccin, cuit",,,701.0,,,114.0,144.0,,108.0,173.0,,387.0,
"Langouste, bouillie/cuite à l'eau",,,,,,65.0,51.0,,229.0,208.0,,182.0,
"Crabe ou Tourteau, bouilli/cuit à l'eau",,53.0,640.0,,,100.0,55.0,,302.0,248.0,,478.0,
"Clam, Praire ou Palourde, bouilli/cuit à l'eau",,,,,,80.0,,,231.0,432.0,,625.0,
"Écrevisse, cuite",,73.0,,,,,26.0,,150.0,140.0,,,
"Crevette rose bouquet, cuite",,,369.0,,,,,,171.0,318.0,,188.0,
"Calmar ou calamar ou encornet, bouilli/cuit à l'eau",,180.0,,1.0,,,60.0,,,637.0,,744.0,
Fruits de mer (aliment moyen),,130.0,912.0,,,,,,157.0,271.0,,439.0,4.0
"Langoustine, bouillie/cuite à l'eau",,84.0,413.0,,,394.0,45.0,,208.0,283.0,,270.0,
"Araignée de mer, cuite",,230.0,662.0,,2.0,80.0,64.0,,250.0,260.0,110.0,385.0,
"Crevette pattes blanches, cuite",,109.0,1070.0,,,,,,177.0,288.0,,730.0,
"Crevette géante tigrée, cuite",,,870.0,,,,49.0,,183.0,291.0,,570.0,2.0
"Crevette royale rose, cuite",,,159.0,,,,,,203.0,207.0,,138.0,
"Poulpe, cuit",,106.0,,,,,60.0,,279.0,630.0,,460.0,
"Fruits de mer, cuits, surgelés",,70.0,,,,,,,,,,402.0,
"Calmar ou calamar ou encornet, frit ou poêlé avec matière grasse",,39.0,,,,,38.0,,251.0,279.0,,306.0,
"Escargot, sans matière grasse ajoutée, cuit",,,,,,,,,,,,109.0,
"Grenouille, cuisse, grillée/poêlée",,39.0,,,,,22.0,,92.0,110.0,,,
"Calmar ou calamar ou encornet, cru",,,,,,,,,166.0,227.0,,243.0,
"Coquille Saint-Jacques, noix et corail, crue",,220.0,,,,,,,225.0,388.0,,191.0,
"Escargot, cru",,90.0,,,,6.0,,,157.0,35.0,,138.0,
"Homard, cru",,,,,,240.0,,,150.0,204.0,,361.0,
"Huître, sans précision, crue",,,820.0,,,101.0,,,,175.0,,578.0,
"Moule commune, crue",,,462.0,,,138.0,31.0,1.0,213.0,276.0,,339.0,
"Langouste, crue",,,,,,65.0,,,241.0,340.0,,180.0,
"Seiche, crue",,,0.0,,,21.0,31.0,,236.0,351.0,65.0,372.0,
"Clam, Praire ou Palourde, cru",,46.0,,,,80.0,19.0,,168.0,180.0,,329.0,
"Poulpe, cru",,,0.0,,,,33.0,,166.0,265.0,38.0,271.0,
"Bulot ou Buccin, cru",,57.0,,,,,86.0,,141.0,347.0,,206.0,
"Crevette, crue",,,,,,120.0,,,195.0,278.0,34.0,182.0,
"Langoustine, crue",,,,,,141.0,,,144.0,505.0,55.0,287.0,
"Moule de Méditerranée, crue",,88.0,,,,,44.0,,,382.0,,,
"Écrevisse, crue",,,280.0,,,68.0,,,245.0,300.0,70.0,157.0,
"Huître creuse, crue",,81.0,,,,101.0,,,,215.0,,566.0,
"Huître plate, crue",,186.0,,,6.0,,,,267.0,260.0,,510.0,45.0
"Crevette, surgelée, crue",,,,,,,,,,,,240.0,
"Crabe, cru",,84.0,,,,60.0,,,208.0,268.0,82.0,275.0,
"Ormeau, cru",,31.0,,,,,48.0,,154.0,215.0,,189.0,
"Coquille Saint-Jacques, noix, crue",,,,,,28.0,44.0,,224.0,392.0,,137.0,
"Pecten d'Amérique ou Peigne du canada, noix, crue",,22.0,,,,,,,234.0,,,,
"Pétoncle ou Peigne du Pérou, noix, crue",,,,,,,,,,,,150.0,
"Crevette rose, crue",,64.0,,,,,35.0,,214.0,264.0,,119.0,
"Grenouille, cuisse, crue",,,,,,6.0,,,241.0,302.0,,,
"Rillettes de crabe, préemballées",,,,,,,,,,,,440.0,
"Rillettes de poisson, préemballées",,26.0,626.0,,,,22.0,,130.0,200.0,30.0,385.0,
"Rillettes de saumon, préemballées",,14.0,737.0,,,10.0,21.0,,130.0,222.0,20.0,510.0,
"Rillettes de thon, préemballées",,,707.0,,,6.0,,,121.0,202.0,8.0,490.0,
"Rillettes de maquereau, préemballées",,,,,,,,,,,,,
"Terrine de poisson, préemballée",,,877.0,,,25.0,19.0,,66.0,210.0,13.0,500.0,
"Terrine de fruits de mer, avec ou sans poisson, préemballée",,183.0,,,,310.0,,,66.0,157.0,13.0,590.0,
"Tarama, préemballé",,,935.0,,,10.0,,,79.0,,,676.0,
"Calmar ou Calamar ou encornet, à la romaine (beignet)",,,845.0,,,,,,236.0,,,852.0,
"Crabe, miettes et ou pattes décortiquées, appertisé, égoutté",,120.0,830.0,,,60.0,32.0,0.0,220.0,110.0,31.0,638.0,
"Langoustine, panée, frite",,,610.0,,,41.0,24.0,,310.0,130.0,17.0,660.0,
Beignet de crevette,,77.0,1000.0,,1.0,22.0,,,,102.0,,770.0,
"Moule, appertisée, égouttée",,57.0,,,,197.0,42.0,,189.0,98.0,,639.0,
"Escargot en sauce au beurre persillé, préemballé, cuit",,,992.0,,,,35.0,,150.0,89.0,,665.0,
"Moules à la sauce catalane ou escabèche (tomate), appertisée, égouttée",,,,,,,,,,,,691.0,
Accra de poisson,,,743.0,,,20.0,18.0,,110.0,216.0,18.0,583.0,
Carpaccio de saumon avec marinade,,,,,,,,,173.0,279.0,,39.0,
"Maquereau, filet grillé, appertisé, nature, égoutté",,38.0,571.0,,,,23.0,,170.0,200.0,70.0,337.0,
"Anchois, filets roulés aux câpres, semi-conserve, égoutté",,,,,,,,,,,,,
"Anchois, filets à l'huile, semi-conserve, égoutté",,189.0,6090.0,,,30.0,,,231.0,355.0,8.0,4210.0,
"Carrelet ou plie, pané, frit",,27.0,240.0,,,14.0,,,132.0,234.0,20.0,264.0,
"Oeufs de lompe, semi-conserve",,,3000.0,,,60.0,3.0,,83.0,,8.0,1950.0,
"Caviar, semi-conserve",,,,,,117.0,,,,,8.0,,
Hareng mariné ou rollmops,,,,,,47.0,,,,,46.0,1030.0,
"Limande-sole, panée, frite",,,,,,25.0,,,,,73.0,270.0,
"Pilchard, sauce tomate, appertisé, égoutté",1.0,250.0,520.0,,,64.0,29.0,,280.0,310.0,30.0,400.0,
"Poisson, croquette ou beignet ou nuggets, frit",,,,,,,,,130.0,259.0,,418.0,
"Poisson pané, surgelé, cru",,20.0,800.0,,,110.0,29.0,,108.0,322.0,,270.0,
"Poisson pané, frit",,,501.0,,,5.0,,,164.0,286.0,,338.0,
"Sardine, à l'huile, appertisée, égouttée",,333.0,477.0,,,,,,306.0,368.0,35.0,300.0,
"Sardine, sauce tomate, appertisée, égouttée",,378.0,590.0,,,,,,352.0,376.0,,280.0,
"Thon, au naturel, appertisé, égoutté",,,428.0,,,16.0,24.0,,155.0,207.0,305.0,251.0,
"Sardine, à l'huile d'olive, appertisée, égouttée",,798.0,510.0,,,15.0,,,530.0,357.0,11.0,291.0,
"Surimi, bâtonnets, tranche ou râpé saveur crabe",,19.0,1010.0,,,10.0,,,44.0,,,632.0,
"Oeufs de cabillaud, fumés, semi-conserve",,,,,,230.0,,,453.0,280.0,,290.0,
"Thon germon ou thon blanc, cuit à la vapeur sous pression",,,,,,40.0,,,307.0,390.0,,,
"Maquereau, filet sauce tomate, appertisé, égoutté",,20.0,200.0,,,,25.0,,135.0,326.0,,257.0,1.0
"Maquereau, filet sauce moutarde, appertisé, égoutté",,,743.0,,,20.0,,,127.0,180.0,,405.0,
"Maquereau, filet au vin blanc, appertisé, égoutté",,184.0,524.0,,,,17.0,,123.0,165.0,,387.0,
"Saumon, appertisé, égoutté",,270.0,730.0,,,30.0,42.0,,440.0,300.0,42.0,488.0,
"Maquereau, au naturel, appertisé, égoutté",,128.0,610.0,,,,,,261.0,225.0,,485.0,
"Merlan, pané",,48.0,190.0,0.0,,,33.0,0.0,260.0,320.0,,250.0,0.0
"Foie de morue, appertisé, égoutté",,10.0,,,,105.0,,,145.0,130.0,107.0,446.0,2.0
"Oeufs de truite, semi-conserve",,58.0,1860.0,,,70.0,46.0,,400.0,180.0,80.0,1070.0,
"Anchois au sel (anchoité, semi-conserve)",,542.0,,,,,,,481.0,215.0,,3600.0,
"Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté",,1.0,240.0,,,6.0,,,196.0,331.0,11.0,270.0,
"Thon à l'huile de tournesol, entier, appertisé, égoutté",,12.0,632.0,,,,32.0,,180.0,220.0,90.0,373.0,
"Thon albacore ou thon jaune, au naturel, appertisé, égoutté",,,573.0,,,1.0,,,166.0,245.0,68.0,283.0,
"Maquereau, mariné",,,,,,,,,,,16.0,915.0,
"Anchois commun, mariné, préemballé",,120.0,5310.0,,,8.0,102.0,,148.0,159.0,46.0,2230.0,
"Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés",,108.0,637.0,,,40.0,37.0,,262.0,357.0,46.0,282.0,2.0
"Surimi, fourré au fromage",,19.0,1020.0,,,,,,36.0,49.0,,688.0,
"Thon à la tomate, miettes, appertisées, égouttées",,,,,,,,,,,,489.0,
"Thon, à la catalane ou à l'escabèche (sauce tomate), appertisé",1.0,,,,,,,,,,,402.0,
"Thon à l'huile de tournesol, miettes, appertisées, égouttées",,11.0,569.0,,1.0,,27.0,,160.0,210.0,100.0,339.0,
"Oeufs de saumon, semi-conserve",,,1710.0,,,330.0,,,,94.0,,936.0,
"Oeuf, blanc (blanc d'oeuf), cuit",,,,,,,,,,147.0,,155.0,
"Oeuf, jaune (jaune d'oeuf), cuit",,,,,,192.0,,,121.0,,,14.0,
