food_name_in_french,retinol_in_µg_for_100g,beta_carotene_in_µg_for_100g,vitamin_d_in_µg_for_100g,vitamin_e_in_mg_for_100g,vitamin_k1_in_µg_for_100g,vitamin_k2_in_µg_for_100g,vitamin_c_in_mg_for_100g,vitamin_b1_thiamine_in_mg_for_100g,vitamin_b2_riboflavin_in_mg_for_100g,vitamin_b3_niacin_in_mg_for_100g,vitamin_b5_pantothenic_acid_in_mg_for_100g,vitamin_b6_in_mg_for_100g,vitamin_b9_total_folate_in_µg_for_100g,vitamin_b12_in_µg_for_100g
"Turbot d'élevage, cru",,,,,,,,,,,,,,
"Bar commun ou loup (Méditerranée), cru, sauvage",,,,,,,,,,,,,,
"Bar commun ou loup (Méditerranée), cru, élevage",,,,,,,,,,,,,,
"Baudroie rousse ou Lotte, crue",,,,,,,,,,,,,,
"Sébaste du nord, ou grand sébaste, ou dorade sébaste, ou daurade sébaste, crue",,0.0,,,0.0,,,,,,,,9.0,
"Hoki, tout lieu de pêche, cru",,,,,,,,,,,,,,
"Grenadier bleu ou hoki de Nouvelle-Zélande, cru",,,,,,,,,,,,,20.0,
"Grondin perlon, cru",,,,,,,,,,,,,,
"Merlu blanc du Cap, surgelé, cru",,,,,,,,,,,,,,
"Chinchard maigre, cru",4.0,,,,,,,,,,,,,
"Chinchard gras, cru",,,,,,,,,,,,,,
"Hareng maigre, cru",,,,,,,,,,,,,,
"Hareng gras, cru",,,,,0.0,,,,,,,,10.0,
"Joëls (petits poissons entiers) pour friture, crus",,,,,,,,,,,,,,
"Empereur, filet, sans peau, cru",,,,,,,,,,,,,,
"Rouget-barbet, filet avec peau, surgelé, cru (Thaïlande, Sénégal…)",,,,,,,,,,,,,,
"Carpe, crue, élevage",,0.0,,,,,,,,,,,16.0,
"Truite d'élevage, crue",,,,,,,,,,,,,,
"Truite arc en ciel, crue, élevage",49.0,0.0,,,,,,,,,,,,
"Perche, crue",15.0,0.0,,,,,,,,,,,11.0,2.0
"Brochet, cru",21.0,0.0,,,,,,,,,,,15.0,2.0
"Esturgeon, cru",210.0,0.0,,,,,0.0,,,,,,15.0,
"Anguille, crue",1280.0,0.0,16.0,6.0,,,,,,,,,,
"Pangasius ou Poisson-chat, cru",,0.0,,,,,0.0,,,,,,10.0,
"Tilapia, cru",,0.0,,,,,0.0,,,,,,24.0,
"Truite saumonée, crue",20.0,,,,0.0,,0.0,,,,,,22.0,
"Lotte de rivière, crue",,,,,,,0.0,,,,,,1.0,
"Sandre, cru",0.0,,,,,,1.0,,,,,,,
"Perche du Nil, crue",7.0,,,,,,,,,,,,,
"Bigorneau, cuit",,0.0,,,,,,,,,,,,
"Coquille Saint-Jacques, noix et corail, cuite",2.0,0.0,0.0,0.0,0.0,,0.0,,,,,,19.0,
"Crevette grise, cuite",,,,,,,,,,,,,,
"Crevette, cuite",,0.0,,,,,,,,,,,,
"Homard, bouilli/cuit à l'eau",1.0,0.0,0.0,,0.0,,0.0,,,,,,,
"Moule, bouillie/cuite à l'eau",,,,,0.0,,,,,,,,48.0,
"Bulot ou Buccin, cuit",,,,,,,,,,,,,,
"Langouste, bouillie/cuite à l'eau",,0.0,,,,,,,,,,,1.0,
"Crabe ou Tourteau, bouilli/cuit à l'eau",26.0,,,,0.0,,,,,,,,,
"Clam, Praire ou Palourde, bouilli/cuit à l'eau",81.0,0.0,0.0,1.0,,,,,,,,,,
"Écrevisse, cuite",,,,,,,,,,,,,,
"Crevette rose bouquet, cuite",,,,,,,,,,,,,,
"Calmar ou calamar ou encornet, bouilli/cuit à l'eau",203.0,,,,,,,,,,,,24.0,
Fruits de mer (aliment moyen),35.0,,,,,,,,,,,,,
"Langoustine, bouillie/cuite à l'eau",,,,,,,,,,,,,,
"Araignée de mer, cuite",,,,,,,,,,,,,,
"Crevette pattes blanches, cuite",,,,,,,,,,,,,,
"Crevette géante tigrée, cuite",,,,,,,,,,,,,,
"Crevette royale rose, cuite",,,,,,,,,,,,,,
"Poulpe, cuit",90.0,0.0,0.0,,,,8.0,,,,,,24.0,36.0
"Fruits de mer, cuits, surgelés",,,,,,,,,,,,,,
"Calmar ou calamar ou encornet, frit ou poêlé avec matière grasse",11.0,,,,,,,,,,,,5.0,
"Escargot, sans matière grasse ajoutée, cuit",,,,,,,,,,,,,,
"Grenouille, cuisse, grillée/poêlée",,,,,,,,,,,,,,
"Calmar ou calamar ou encornet, cru",2.0,0.0,,,0.0,,,,,,,,11.0,
"Coquille Saint-Jacques, noix et corail, crue",2.0,0.0,,0.0,0.0,,0.0,,,,,,17.0,
"Escargot, cru",30.0,0.0,,5.0,,,15.0,,,,,,,
"Homard, cru",11.0,0.0,0.0,,0.0,,,,,,,,12.0,
"Huître, sans précision, crue",,,,,0.0,,,,,,,,,
"Moule commune, crue",60.0,0.0,0.0,,,,,,,,,,,
"Langouste, crue",15.0,0.0,,,,,2.0,,,,,,1.0,
"Seiche, crue",25.0,0.0,0.0,,,,,,,,,,14.0,
"Clam, Praire ou Palourde, cru",53.0,0.0,0.0,,,,13.0,,,,,,,
"Poulpe, cru",20.0,0.0,,,,,5.0,,,,,,14.0,15.0
"Bulot ou Buccin, cru",26.0,0.0,0.0,,,,4.0,,,,,,6.0,
"Crevette, crue",,,,,,,0.0,,,,,,19.0,1.0
"Langoustine, crue",0.0,,0.0,,0.0,,3.0,,,2.0,,,17.0,
"Moule de Méditerranée, crue",,,,,,,,,,,,,,
"Écrevisse, crue",11.0,0.0,,,0.0,,,,,,,,26.0,
"Huître creuse, crue",,0.0,,,,,,,,,,,,
"Huître plate, crue",75.0,0.0,,,,,0.0,,,,,,10.0,
"Crevette, surgelée, crue",2.0,0.0,,,,,0.0,,,,,,13.0,
"Crabe, cru",2.0,0.0,0.0,,0.0,,,,,,,,,
"Ormeau, cru",2.0,0.0,0.0,4.0,,,2.0,,,,3.0,,5.0,
"Coquille Saint-Jacques, noix, crue",,,,,,,,,,,,,,2.0
"Pecten d'Amérique ou Peigne du canada, noix, crue",,,,,,,,,,,,,,
"Pétoncle ou Peigne du Pérou, noix, crue",,,,,,,,,,,,,,
"Crevette rose, crue",,,,,,,,,,,,,,
"Grenouille, cuisse, crue",15.0,0.0,,1.0,,,5.0,,,,,,,
"Rillettes de crabe, préemballées",,,,,,,,,,,,,,
"Rillettes de poisson, préemballées",,,,,,,,,,,,,,
"Rillettes de saumon, préemballées",6.0,,,,,,,,,,,,19.0,
"Rillettes de thon, préemballées",5.0,,,,,,,,,,,,27.0,
"Rillettes de maquereau, préemballées",,,,,,,,,,,,,,
"Terrine de poisson, préemballée",15.0,,,4.0,,,,,,,,,23.0,
"Terrine de fruits de mer, avec ou sans poisson, préemballée",15.0,,,4.0,,,0.0,,,,,,23.0,
"Tarama, préemballé",5.0,53.0,,9.0,,,,,,,,,,
"Calmar ou Calamar ou encornet, à la romaine (beignet)",,,,,,,0.0,,,,,,,
"Crabe, miettes et ou pattes décortiquées, appertisé, égoutté",0.0,,0.0,,0.0,,0.0,,,,,,20.0,
"Langoustine, panée, frite",0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,1.0
Beignet de crevette,,,,,,,,,,,,,,
"Moule, appertisée, égouttée",,,0.0,,0.0,,0.0,,,1.0,,,27.0,
"Escargot en sauce au beurre persillé, préemballé, cuit",131.0,,,,,,,,,,,,,
"Moules à la sauce catalane ou escabèche (tomate), appertisée, égouttée",,,,,,,,,,,,,,
Accra de poisson,,,,,,,,,,,,,33.0,
Carpaccio de saumon avec marinade,,,,,,,,,,,,,,
"Maquereau, filet grillé, appertisé, nature, égoutté",,,,,,,,,,,,,,
"Anchois, filets roulés aux câpres, semi-conserve, égoutté",,,,,,,,,,,,,,
"Anchois, filets à l'huile, semi-conserve, égoutté",5.0,0.0,,,,,,,,,,,,
"Carrelet ou plie, pané, frit",0.0,,0.0,0.0,0.0,,0.0,,,,,,27.0,0.0
"Oeufs de lompe, semi-conserve",13.0,0.0,,,,,,,,,,,25.0,
"Caviar, semi-conserve",,,,,,,,,,,,,25.0,
Hareng mariné ou rollmops,,0.0,,,,,0.0,,,,,,,
"Limande-sole, panée, frite",,0.0,,,,,,,,,,,13.0,1.0
"Pilchard, sauce tomate, appertisé, égoutté",7.0,0.0,14.0,,,,,,,,,,0.0,13.0
"Poisson, croquette ou beignet ou nuggets, frit",2.0,0.0,,0.0,,,,,,,,,,
"Poisson pané, surgelé, cru",,,,,,,,,,,,,,1.0
"Poisson pané, frit",16.0,0.0,,,,,,,,,,,29.0,
"Sardine, à l'huile, appertisée, égouttée",,0.0,,,0.0,,0.0,,,,,,16.0,
"Sardine, sauce tomate, appertisée, égouttée",4.0,,,,0.0,,0.0,,,,,,16.0,
"Thon, au naturel, appertisé, égoutté",,0.0,,,0.0,,0.0,,,,,,,
"Sardine, à l'huile d'olive, appertisée, égouttée",4.0,0.0,,,,,0.0,,,,,,12.0,
"Surimi, bâtonnets, tranche ou râpé saveur crabe",28.0,0.0,,,,,0.0,,,,,,2.0,
"Oeufs de cabillaud, fumés, semi-conserve",,,,,,,,,,,,,,
"Thon germon ou thon blanc, cuit à la vapeur sous pression",4.0,0.0,,,,,,,,,,,,
"Maquereau, filet sauce tomate, appertisé, égoutté",,,,,0.0,,0.0,,,,,,19.0,
"Maquereau, filet sauce moutarde, appertisé, égoutté",38.0,,,,,,,,,,,,,
"Maquereau, filet au vin blanc, appertisé, égoutté",19.0,0.0,,,,,,,,,,,,
"Saumon, appertisé, égoutté",90.0,,13.0,,0.0,,0.0,,,7.0,,,12.0,
"Maquereau, au naturel, appertisé, égoutté",,0.0,,,,,0.0,,,,,,,
"Merlan, pané",0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Foie de morue, appertisé, égoutté",4170.0,,,,,,4.0,,,,,,188.0,
"Oeufs de truite, semi-conserve",343.0,,,,,,,,,,3.0,,165.0,
"Anchois au sel (anchoité, semi-conserve)",55.0,0.0,,,,,0.0,,,14.0,,,8.0,
"Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté",4.0,0.0,,,,,0.0,,,,,,5.0,
"Thon à l'huile de tournesol, entier, appertisé, égoutté",,,,,,,,,,,,,,
"Thon albacore ou thon jaune, au naturel, appertisé, égoutté",22.0,,,,,,,,,,,,,
"Maquereau, mariné",,,,,,,,,,,,,,
"Anchois commun, mariné, préemballé",11.0,0.0,,,,,,,,,,,37.0,
"Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés",,,,,,,,,,,,,,
"Surimi, fourré au fromage",,,,,,,,,,,,,,
"Thon à la tomate, miettes, appertisées, égouttées",,,,,,,,,,,,,,
"Thon, à la catalane ou à l'escabèche (sauce tomate), appertisé",,,,,,,,,,,,,,
"Thon à l'huile de tournesol, miettes, appertisées, égouttées",,,,,,,,,,,,,,
"Oeufs de saumon, semi-conserve",393.0,,27.0,,,,,,,,,,124.0,
"Oeuf, blanc (blanc d'oeuf), cuit",0.0,0.0,0.0,0.0,,,0.0,,,,,,,
"Oeuf, jaune (jaune d'oeuf), cuit",263.0,106.0,,5.0,,,0.0,,,,,,166.0,
"Oeuf, dur",,11.0,,,,,0.0,,,,,,44.0,
"Oeuf, poché",159.0,0.0,2.0,,,,0.0,,,,,,35.0,
"Oeuf, à la coque",132.0,11.0,,,,,,,,,,,57.0,
"Oeuf, au plat, frit, salé",98.0,35.0,,,,,0.0,,,,,,,
"Oeuf, brouillé, avec matière grasse",159.0,26.0,,,4.0,,0.0,,,,,,36.0,
"Oeuf, au plat, sans matière grasse",115.0,,,,,,,,,,,,,
"Oeuf, cru",182.0,0.0,,,,,0.0,,,,,,34.0,
"Oeuf, blanc (blanc d'oeuf), cru",0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,
"Oeuf, jaune (jaune d'oeuf), cru",336.0,88.0,2.0,,,,0.0,,,,,,159.0,
"Oeuf de caille, cru",155.0,11.0,,,,,0.0,,,,,,66.0,
"Oeuf de cane, cru",192.0,14.0,,,,,0.0,,,,,,80.0,
"Oeuf d'oie, cru",185.0,13.0,,,,,0.0,,,,,,76.0,
"Oeuf de dinde, cru",166.0,84.0,,,,,0.0,,,,,,71.0,
"Oeuf, jaune (jaune d'oeuf), en poudre",904.0,0.0,,,,,0.0,,,,,,227.0,
"Oeuf, blanc (blanc d'oeuf), en poudre",0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,18.0,
"Oeuf, en poudre",210.0,0.0,,,,,0.0,,,,,,145.0,
Omelette au fromage,198.0,64.0,,,,,0.0,,,,,,,
Omelette aux lardons,132.0,,,,,,0.0,,,,,,,
Omelette aux champignons,132.0,25.0,,,,,,,,,,,,
Omelette aux fines herbes,160.0,,,,,,,,,,,,,
"Tortilla espagnole aux oignons (omelette aux pommes de terre et oignons), préemballée",,,,,,,,,,,,,,
"Omelette, garnitures diverses : légumes, fromages, viandes... (aliment moyen)",115.0,,,,,,,,,,,,,
"Protéine de soja texturée, réhydratée",,,,,,,,,,,,,,
"Tofu nature, préemballé",0.0,,,,,,,,,,,,,0.0
"Tofu fumé, préemballé",,,,,13.0,,,,,,,,,
"Bouchées ou émincé végétal au soja et blé (convient aux véganes ou végétaliens), préemballé",,,,,,,,,,,,,,
"Bouchées ou émincé au soja et blé  (ne convient pas aux véganes ou végétaliens), préemballé",,,,,,,,,,,,,,
"Seitan, préemballé",,,,,,,,,,,,,,
"Lait entier, UHT",,,,,,,,,,,,,,
"Lait entier, pasteurisé",,,,,0.0,,,,,,,,11.0,
"Lait demi-écrémé, UHT, enrichi en vitamine D seulement",,,,,,,,,,,,,,
"Lait à 1,2% de matière grasse, UHT, enrichi en plusieurs vitamines",,,,,,,,,,,,,,
"Lait, teneur en matière grasse inconnue, UHT (aliment moyen)",,,,,,,,,,,,,,
"Lait demi-écrémé, UHT",,,,,,,,,,,,,,
"Lait demi-écrémé, pasteurisé",,,,,0.0,,,,,,,,,
"Lait écrémé, UHT",1.0,,,,,,,,,,,,,
"Lait écrémé, pasteurisé",,7.0,,,0.0,,,,,,,,,
Lait demi-écrémé (ou à teneur en matière grasse légèrement inférieure) à teneur réduite en lactose,,,,,,,,,,,,,,
"Lait de chèvre, entier, UHT",,0.0,,,,,,,,,,,1.0,
"Lait de chèvre, demi-écrémé, UHT",,,,,,,,,,,,,,
"Lait de chèvre, entier, cru",,,,,,,,,,,,,,
"Lait de jument, entier",12.0,32.0,,,,,15.0,,,,,,,
"Lait de brebis, entier",,0.0,,,,,,,,,,,,
"Lait en poudre, entier",228.0,170.0,,,,,10.0,,,,,,37.0,
"Lait concentré non sucré, entier",145.0,,,,,,,,,,,,,
"Lait concentré sucré, entier",73.0,14.0,,,,,,,,,,,11.0,
"Lait en poudre, demi-écrémé",310.0,,,,,,,,,,,,69.0,
"Lait en poudre, écrémé",,1.0,,,,,,,,,,,,
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, avec édulcorants, allégé en sucres, 0% MG, au L Casei",,,,,,,,,,,,,,
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré",,7.0,,,,,,,,,,,,
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, au L Casei",,,,,,,,,,,,,,
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, enrichi en vitamine D",,,,,,,,,,,,,,
"Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré",15.0,7.0,,,,,,,,,,,28.0,
"Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré, enrichie en vitamine D",,,,,,,,,,,,,,
"Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré, au L Casei",8.0,,,,,,,,,,,,,
"Lait fermenté ou spécialité laitière type yaourt, aromatisé, sucré, au bifidus",,,,,,,1.0,,,,,,,
"Lait fermenté ou spécialité laitière type yaourt, aux fruits, avec édulcorants, 0% MG, au bifidus",,,,,,,,,,,,,,
"Lait fermenté ou spécialité laitière type yaourt, aux fruits, sucré, au bifidus",,38.0,,,,,,,,,,,,
"Lait fermenté ou spécialité laitière type yaourt, aux fruits, 0% MG, avec édulcorants, aux esters de stérol",,,,,,,,,,,,,,
"Lait fermenté ou spécialité laitière type yaourt, nature, 0% MG, au bifidus",,,,,,,,,,,,,,
"Lait fermenté ou spécialité laitière type yaourt, nature, au bifidus",,,,,,,,,,,,,,
"Lait fermenté ou spécialité laitière type yaourt, sur lit de fruits, sucré, au bifidus",,,,,,,,,,,,,,
"Yaourt à la grecque, au lait de brebis",,,,,,,,,,,,,,
"Yaourt à la grecque, sur lit de fruits",55.0,,,,,,,,,,,,,
"Yaourt au lait de brebis, aromatisé, sucré",35.0,,,,,,,,,,,,,
"Yaourt au lait de brebis, nature, 3% MG environ",,,,,,,,,,,,,,
"Yaourt au lait de chèvre, nature, 5% MG environ",,,,,,,1.0,,,,,,7.0,
"Yaourt, lait fermenté ou spécialité laitière sur lit de fruits, sucré",,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aux céréales, 0% MG",1.0,2.0,0.0,,,,3.0,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, avec édulcorants, 0% MG",,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré",26.0,13.0,,,0.0,,,,,,,,20.0,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, à la crème",,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, enrichi en vitamine D",,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aux céréales",,,,,0.0,,,,,,,,23.0,
"Yaourt, lait fermenté ou spécialité laitière, aux copeaux de chocolat, à la crème, sucré",42.0,19.0,,,,,,,,,,,20.0,
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG",,87.0,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG, enrichi en vitamine D",,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré",,,,,,,,,,,,,22.0,
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, à la crème",43.0,,,,,,,,,,,,15.0,
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, enrichi en vitamine D",,103.0,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, nature",11.0,6.0,,,,,,,,,,,25.0,
"Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG",,,,0.0,,,,,,,,,28.0,
"Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG, enrichi en vitamine D",,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG, sucré, enrichi en vitamine D",,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, nature, à la crème",,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, nature, sucré",25.0,14.0,,,,,,,,,,,,
Yaourt ou spécialité laitière nature (aliment moyen),,,,,,,,,,,,,,
Yaourt ou spécialité laitière nature ou aux fruits (aliment moyen),20.0,20.0,,,,,,,,,,,,
Yaourt ou spécialité laitière aux fruits (aliment moyen),27.0,,,,,,,,,,,,,
"Spécialité laitière type encas, riche en protéines, sur lit de fruits, sucrée",23.0,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, 0% MG (aliment moyen)",,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, non allégé en MG (aliment moyen)",,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, avec édulcorants (aliment moyen)",,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, sucré (aliment moyen)",,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, sucré, non allégé en MG (aliment moyen)",,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits (aliment moyen)",,,,,,,,,,,,,,
"Lait fermenté à boire, nature, maigre",,,0.0,,,,,,,,,,,
"Lait fermenté à boire, nature, au lait entier",,,,,0.0,,,,,,,,6.0,
"Yaourt à la grecque, nature",,,,,,,,,,,,,,
"Yaourt à la grecque, aromatisé, sucré",,,,,,,,,,,,,,
Kéfir de lait,,,,,0.0,,,,,,,,21.0,
"Yaourt au lait de brebis, nature, 6% MG environ",,,,,,,,,,,,,,
Fromage blanc nature ou aux fruits (aliment moyen),,,,,,,,,,,,,,
"Fromage frais type petit suisse, aromatisé chocolat, sucré",,,,,,,,,,,,,,
Faisselle au coulis de fruits,,,,,,,,,,,,,,
"Faisselle, 0% MG",,,,,,,,,,,,,,
"Faisselle, 6% MG environ",,30.0,,,,,,,,,,,,
"Fromage blanc et crème fouettée sur lit de fruits, sucré",,,,,,,0.0,,,,,,32.0,
"Fromage blanc nature, 0% MG",4.0,3.0,,,,,,,,,,,24.0,
"Fromage blanc nature, 0% MG, enrichi en vitamine D",,,,,,,,,,,,,,
"Fromage blanc nature, 3% MG environ",29.0,20.0,,,0.0,,,,,,,,26.0,
"Fromage blanc nature, 3% MG environ, au bifidus",,,,,,,,,,,,,,
"Fromage blanc nature, 3% MG environ, enrichi en vitamine D",,,,,,,,,,,,,,
"Fromage blanc nature, gourmand, 8% MG environ",90.0,41.0,,,,,,,,,,,,
"Fromage blanc ou spécialité laitière nature et crème fouetté, 10% MG environ",,,,,,,,,,,,,,
"Fromage blanc ou spécialité laitière, aromatisé, sucré, 0% MG",,,,,,,,,,,,,,
"Fromage blanc ou spécialité laitière, aromatisé, sucré, 3% MG environ",,,,,,,,,,,,,,
"Fromage blanc ou spécialité laitière, aromatisé, sucré, 3% MG environ, au bifidus",,,,,,,,,,,,,,
"Fromage blanc ou spécialité laitière, aux copeaux de chocolat, sucré, 7% MG environ",,,,,,,,,,,,,,
"Fromage blanc ou spécialité laitière, aux fruits, avec édulcorants, allégé en sucres, 0% MG",2.0,20.0,,,,,,,,,,,30.0,
"Fromage blanc ou spécialité laitière, aux fruits, sucré, 0% MG",,,,,,,,,,,,,,
"Fromage blanc ou spécialité laitière, aux fruits, sucré, 3% MG environ",,,1.0,,,,,,,,,,,
"Fromage blanc ou spécialité laitière, aux fruits, sucré, 3% MG environ, au bifidus",,,,,,,,,,,,,,
"Fromage blanc ou spécialité laitière, aux fruits, sucré, gourmand, 7% MG environ",9.0,,,,,,,,,,,,,
"Fromage frais type petit suisse, aux fruits, 2-3% MG",,,,,,,,,,,,,,
"Fromage frais type petit suisse, aux fruits, 2-3% MG, enrichi en calcium et vitamine D",,,,,,,,,,,,,151.0,
"Fromage frais type petit suisse, nature, 0% MG",,,,,,,,,,,,,,
"Fromage frais type petit suisse, nature, 4% MG environ",,,,,,,,,,,,,,
"Mousse de fromage blanc sur lit de fruits, 0% MG, avec édulcorants, enrichie en calcium et vitamine D",,,,,,,,,,,,,,
"Fromage frais type petit suisse, nature, 10% MG environ",,,,,,,,,,,,,,
"Fromage frais type petit suisse, aromatisé ou aux fruits, 2-3% MG, enrichi en calcium et vitamine D",,43.0,,,,,,,,,,,25.0,
"Fromage blanc ou spécialité laitière, aux fruits, avec édulcorants, allégé en sucres, 3% MG environ",,,4.0,,,,,,,,,,,
"Crème dessert, allégée en MG, rayon frais",,,,,,,,,,,,,,
"Flan aux oeufs, rayon frais",,,,,,,,,,,,,,
"Lait emprésuré aromatisé, rayon frais",,,,,,,,,,,,,,
"Lait gélifié aromatisé, nappé caramel, rayon frais",,,,,,,,,,,,,,
"Lait gélifié aromatisé, rayon frais",,7.0,,,,,,,,,,,,
"Liégeois ou viennois (chocolat, café, caramel ou vanille), rayon frais",58.0,,,,,,,,,,,,,
"Lait gélifié aromatisé, allégé en matière grasse et en sucre, rayon frais",,,,,,,,,,,,,,
"Panna cotta, avec préparations de fruits ou caramel, rayon frais",,,,,,,,,,,,,,
"Gâteau de semoule aux raisins et caramel, rayon frais",,,,,,,,,,,,,,
"Gâteau de riz au caramel, rayon frais",30.0,9.0,,,,,,,,,,,17.0,
"Milk-shake, provenant de fast food",,0.0,0.0,,,,,,,,,,3.0,
"Crème dessert au chocolat, rayon frais",,,,,,,,,,,,,,
"Mousse au chocolat (base laitière), rayon frais",23.0,16.0,,,,,,,,,,,22.0,
"Crème caramel, rayon frais",37.0,8.0,,,,,0.0,,,,,,8.0,
"Crème aux oeufs (petit pot de crème chocolat, vanille, etc.), rayon frais",,,,,,,,,,,,,,
"Riz au lait, rayon frais",,11.0,,,,,,,,,,,22.0,
"Crème brûlée, rayon frais",174.0,64.0,,,,,,,,,,,,
"Crème dessert à la vanille, appertisée",33.0,3.0,,,,,,,,,,,22.0,
"Ile flottante, rayon frais",41.0,4.0,,,,,,,,,,,,
"Semoule au lait, rayon frais",14.0,53.0,,,,,,,,,,,,
"Mousse aux fruits, rayon frais",,,,,,,,,,,,,,
"Crème dessert à la vanille, rayon frais",,,,,,,,,,,,,,
"Crème dessert, rayon frais (aliment moyen)",,,,,,,,,,,,,,
"Mousse liégeoise (chocolat, café, caramel ou vanille), rayon frais",,,,,,,,,,,,,,
"Crème dessert au café, rayon frais",,,,,,,,,,,,,,
"Crème dessert au caramel, rayon frais",,,,,,,,,,,,,,
"Crème dessert, appertisée (aliment moyen)",,,,,,,,,,,,,,
"Crème dessert au chocolat, appertisée",11.0,0.0,,,,,2.0,,,,,,3.0,
"Crème dessert, rayon frais ou appertisée (aliment moyen)",,,,,,,,,,,,,,
"Cheesecake ou Gâteau au fromage frais, préemballé",172.0,,,,,,,,,,,,12.0,
"Tiramisu, préemballé",,,,,,,,,,,,,,
"Mousse à la crème de marrons, préemballée",,,,,,,,,,,,,,
"Profiteroles (crème pâtissière et sauce chocolat), préemballées",,,,,,,,,,,,,,
"Gâteau de semoule, appertisé",13.0,12.0,,,,,,,,,,,,
"Mousse au chocolat traditionnelle, préemballée",,,,,,,,,,,,,,
"Clafoutis aux fruits, préemballé",56.0,,,,,,,,,,,,23.0,
"Liégeois aux fruits, préemballé",,,,,,,,,,,,,,
"Gâteau de riz, appertisé",,,,,,,,,,,,,,
"Fondant au chocolat noir et crème anglaise, préemballé",,,,,,,,,,,,,,
"Gâteau au chocolat, coeur fondant, préemballé (rayon frais)",,,,,,,,,,,,,,
Pain perdu,,66.0,,,,,,,,,,,,1.0
"Lait de poule, sans alcool",58.0,7.0,,,,,,,,,,,9.0,
Crème pâtissière,,100.0,,,,,,,,,,,15.0,1.0
"Dessert au soja, aux fruits, sucré, enrichi en calcium, fermenté, préemballé",,,,,,,,,,,,,,0.0
"Dessert au soja, nature, non sucré, non enrichi, fermenté, préemballé",,,,,,,,,,,,,,
"Dessert au soja, nature, non sucré, enrichi en calcium, fermenté, préemballé",,,,,,,,,,,,,,
"Dessert au soja, aux fruits, sucré, non enrichi, fermenté, préemballé",,,,,,,,,,,,,,
"Dessert au soja, aux amandes, fermenté, préemballé",,,,,,,,,,,,,,
"Dessert au soja, aromatisé, sucré, enrichi en calcium, préemballé",,,,,,,,,,,,,,0.0
"Dessert au soja, aromatisé, sucré, non enrichi, préemballé",,,,,,,,,,,,,,
"Dessert végétal sans soja (amande, avoine, chanvre, coco, riz), aromatisé, sucré, non enrichi, préemballé",,,,,,,,,,,,,,
"Dessert végétal sans soja (coco, riz), aux fruits, sucré, enrichi en calcium, fermenté, préemballé",,,,,,,,,,,,,,
"Mousse au chocolat végétale, préemballée",,,,,,,,,,,,,,
Fromage (aliment moyen),226.0,,,,,,,,,1.0,,,,
"Camembert, sans précision",190.0,,,,0.0,,0.0,,,,,,62.0,
Fromage à pâte molle et croûte fleurie (type camembert),470.0,,,,,,,,,,,,,
Camembert au lait cru,181.0,0.0,,,,,,,,,,,88.0,
